customerid,tgt,trips,amount_of_yen,quantity,purchase_period,purchase_recency,purchase_amount_per_trips,regularity,trips_cancellation,trips_cat85099,trips_cat85123,trips_cat22423,trips_cat47566,trips_cat84879,trips_cat20725,trips_cat22720,trips_catpost,trips_cat23203,trips_cat22383,mode_category
12352,0,8,601.18,188,34,100,75.1475,4.25,0,0,0,1,0,0,0,0,2,0,0,M
12359,1,4,3459.93,961,141,27,864.9825,35.25,0,1,0,2,1,0,0,1,0,0,0,82613
12383,1,5,1238.59,775,146,22,247.718,29.2,0,0,0,0,0,0,0,0,4,0,0,84997
12395,0,7,1035.9,837,176,0,147.985714285714,25.1428571428571,0,0,0,1,0,0,0,0,5,0,0,POST
12408,0,6,1460.79,725,97,1,243.465,16.1666666666667,0,1,0,0,0,0,0,0,2,0,0,85099
12413,1,4,499.95,201,100,74,124.9875,25,0,2,0,0,0,0,0,0,2,0,0,POST
12415,0,11,73717.01,47030,160,15,6701.54636363636,14.5454545454545,0,1,0,3,1,0,1,2,1,1,0,84997
12417,0,6,1556.58,623,149,25,259.43,24.8333333333333,0,0,0,0,0,0,0,1,4,0,0,POST
12423,0,5,1213.76,799,99,29,242.752,19.8,0,1,0,0,0,0,1,1,5,0,0,POST
12428,0,8,6236.23,2741,41,80,779.52875,5.125,0,1,1,0,1,0,0,1,4,0,0,POST
12431,0,7,2351.68,1007,124,28,335.954285714286,17.7142857142857,0,0,0,0,0,0,0,0,1,0,0,84945
12437,0,10,2421.98,1638,153,15,242.198,15.3,0,0,0,2,1,0,1,0,8,0,0,POST
12457,0,5,842.35,291,5,71,168.47,1,0,0,0,0,1,0,0,0,2,0,0,23199
12463,1,5,974.39,571,66,13,194.878,13.2,0,0,0,1,0,0,0,0,4,1,0,POST
12464,0,4,544.85,54,108,38,136.2125,27,0,0,0,0,0,0,0,0,3,0,0,POST
12471,0,19,4182.33,1420,134,42,220.122631578948,7.05263157894737,0,0,0,9,0,0,0,4,6,0,0,22423
12472,0,5,2534.62,1582,138,17,506.924,27.6,0,0,0,5,0,0,0,0,3,0,0,85049
12474,0,16,3094.42,1914,163,4,193.40125,10.1875,0,0,0,1,0,0,0,0,8,0,0,POST
12476,0,7,2364.9,817,108,41,337.842857142857,15.4285714285714,0,0,0,2,0,2,0,2,4,0,0,POST
12481,1,7,3304.96,2028,157,17,472.137142857143,22.4285714285714,0,0,0,0,0,1,0,0,4,2,0,POST
12483,0,8,1257.61,624,155,21,157.20125,19.375,0,0,0,0,0,0,1,0,5,0,0,POST
12494,0,4,635.84,269,142,34,158.96,35.5,0,0,0,0,0,0,2,0,2,0,2,84997
12500,0,5,1395.84,981,165,6,279.168,33,0,1,0,0,0,0,0,0,5,0,0,POST
12520,0,4,1645.81,936,68,42,411.4525,17,0,0,0,3,2,0,0,0,3,0,0,21843
12523,0,4,500.19,271,78,90,125.0475,19.5,0,0,0,1,0,0,0,1,1,0,0,23231
12524,1,6,3122.48,2290,171,0,520.413333333334,28.5,0,0,0,0,0,0,2,0,6,0,2,POST
12539,1,4,2801.84,1620,71,100,700.46,17.75,0,0,0,2,3,0,0,2,0,0,1,84509
12540,0,7,5555.81,2702,146,24,793.687142857143,20.8571428571429,0,0,0,4,0,5,0,0,6,0,0,POST
12553,0,8,1698.32,939,125,42,212.29,15.625,0,3,0,0,0,0,3,0,4,0,0,84997
12567,0,6,3878.38,1624,128,17,646.396666666667,21.3333333333333,0,1,0,0,0,1,1,1,3,0,0,23206
12569,0,8,1378.04,612,90,0,172.255,11.25,0,0,0,0,0,0,0,0,7,0,0,POST
12583,0,7,2786.01,2642,165,9,398.001428571428,23.5714285714286,0,0,0,0,0,0,0,0,7,0,0,POST
12584,0,4,573.04,109,116,1,143.26,29,0,0,0,0,0,0,0,2,1,0,0,22848
12594,0,8,1789.95,918,139,21,223.74375,17.375,0,0,0,0,0,0,0,0,5,0,0,POST
12598,0,4,1265.34,662,63,58,316.335,15.75,0,0,0,0,0,0,0,0,2,0,0,22181
12599,0,4,598.14,537,139,2,149.535,34.75,0,0,0,0,0,0,0,0,4,0,0,POST
12600,0,5,1023.16,261,105,42,204.632,21,0,0,0,0,0,2,0,0,5,0,0,POST
12601,1,6,569.56,244,142,27,94.9266666666667,23.6666666666667,0,0,0,0,0,0,0,0,5,0,0,POST
12613,1,4,1462.52,759,64,35,365.63,16,0,2,0,0,0,0,0,1,3,0,0,POST
12621,0,11,6645.32,3722,125,10,604.12,11.3636363636364,0,1,0,2,0,0,3,0,8,2,3,POST
12626,0,5,1981.29,1009,164,0,396.258,32.8,0,1,0,0,0,0,0,0,3,1,0,POST
12637,0,6,2323.1,1073,84,77,387.183333333334,14,0,1,0,1,0,0,1,1,3,0,2,84927
12643,0,5,2142.42,1109,160,10,428.484,32,0,0,0,0,0,0,0,0,5,0,0,POST
12662,0,5,1543.9,853,121,25,308.78,24.2,0,1,0,0,0,0,0,0,4,0,0,POST
12678,0,5,5629.88,3657,108,13,1125.976,21.6,0,1,0,0,0,0,0,0,3,1,0,POST
12681,0,14,6594.23,3654,151,25,471.016428571429,10.7857142857143,0,1,0,4,2,0,1,0,11,0,0,POST
12682,0,11,4987.09,2061,160,15,453.371818181818,14.5454545454545,0,0,0,4,3,0,2,0,10,2,2,15056
12683,0,11,3952.1,2404,153,22,359.281818181818,13.9090909090909,0,0,0,2,0,0,0,0,6,0,0,POST
12684,1,4,1379.48,1274,42,8,344.87,10.5,0,0,0,0,0,0,0,0,3,0,0,POST
12693,0,4,615.77,217,107,49,153.9425,26.75,0,0,0,0,0,0,0,0,3,0,0,POST
12705,0,4,2264.65,1321,68,14,566.1625,17,0,1,0,1,0,0,1,0,1,0,0,85049
12708,0,9,1346.61,736,157,10,149.623333333333,17.4444444444444,0,0,0,1,0,0,0,0,5,0,0,22326
12709,0,9,3616.37,1752,127,28,401.818888888889,14.1111111111111,0,0,0,4,0,0,0,0,2,0,0,22467
12712,0,9,2307.5,556,149,20,256.388888888889,16.5555555555556,0,0,0,0,0,0,0,0,8,0,0,POST
12720,0,10,1955.62,1526,143,7,195.562,14.3,0,1,0,0,0,0,1,0,5,1,0,POST
12726,0,4,1297.04,1609,130,22,324.26,32.5,0,0,0,0,0,0,0,0,4,0,0,POST
12727,0,7,2767.4,1595,133,25,395.342857142857,19,0,0,0,0,1,0,0,1,6,0,0,POST
12731,0,7,8431.77,4122,137,13,1204.53857142857,19.5714285714286,0,0,0,2,0,4,4,0,1,0,0,84879
12744,0,6,4171.81,2475,69,86,695.301666666667,11.5,0,2,1,0,0,0,0,0,0,0,0,M
12747,0,5,1761.43,587,158,2,352.286,31.6,0,2,1,0,0,3,0,0,0,0,0,21136
12748,0,69,7151.39999999998,4405,175,0,103.643478260869,2.53623188405797,0,8,3,1,5,3,2,1,1,1,3,85099
12753,0,6,9111.26,4499,109,65,1518.54333333333,18.1666666666667,0,0,0,0,2,0,2,0,0,0,0,22661
12754,1,5,2949.12,6479,72,73,589.824,14.4,0,0,0,0,0,0,0,0,0,0,0,M
12757,0,11,831.03,456,25,23,75.5481818181818,2.27272727272727,0,1,0,0,0,0,2,0,0,2,1,M
12775,1,5,1129.88,716,121,27,225.976,24.2,0,0,1,0,0,0,0,0,4,0,0,POST
12778,1,4,492.06,458,129,21,123.015,32.25,0,0,0,0,0,0,0,0,4,0,0,POST
12779,1,9,2657.95,1225,137,27,295.327777777778,15.2222222222222,0,0,0,0,0,0,0,2,0,0,0,37450
12826,0,4,657.02,637,155,6,164.255,38.75,0,0,0,0,0,0,0,0,0,0,1,20727
12839,0,4,959.62,674,104,21,239.905,26,0,2,0,0,0,0,0,0,0,1,0,85099
12840,0,5,2138.27,1153,43,20,427.654,8.6,0,2,1,0,0,0,3,0,0,0,0,85099
12841,0,11,1655,1000,156,18,150.454545454545,14.1818181818182,0,0,0,0,7,0,0,0,0,0,0,47566
12843,0,7,1376.51,660,96,6,196.644285714286,13.7142857142857,0,3,2,2,5,0,2,0,0,0,0,47566
12845,1,4,354.09,204,22,105,88.5225,5.5,0,0,0,0,0,0,0,0,0,0,0,84375
12853,0,5,862.6,320,101,52,172.52,20.2,0,0,0,1,0,0,0,0,0,0,0,22926
12854,0,4,775.02,417,77,79,193.755,19.25,0,0,2,2,1,1,0,0,0,0,0,85169
12867,0,4,1989.66,2224,132,3,497.415,33,0,0,0,0,1,3,4,0,0,2,4,79190
12868,1,5,1403.76,816,145,23,280.752,29,0,0,2,1,0,4,0,3,0,0,0,84879
12877,0,7,808.77,395,152,15,115.538571428571,21.7142857142857,0,0,0,0,0,0,0,0,0,0,0,15044
12888,1,4,313.77,68,41,52,78.4425,10.25,0,0,0,0,0,0,0,0,0,0,0,79160
12901,0,20,8697.28,7965,107,1,434.864,5.35,0,0,0,0,0,0,0,0,0,0,0,22713
12909,0,5,1485.92,779,62,29,297.184,12.4,0,2,0,3,0,0,1,0,0,1,0,23298
12916,0,4,2288.98,848,118,39,572.245,29.5,0,2,2,0,2,0,0,0,0,0,0,84949
12921,0,22,5253.22,3414,154,22,238.782727272727,7,0,6,0,4,1,3,4,0,0,0,0,85099
12924,0,4,651.52,284,129,36,162.88,32.25,0,0,0,0,0,0,0,0,0,0,0,22801
12931,0,6,3661.7,2850,98,41,610.283333333333,16.3333333333333,0,0,0,0,0,0,0,0,0,0,0,21731
12947,0,8,908.8,892,165,9,113.6,20.625,0,0,0,0,1,0,3,0,0,0,0,20725
12949,0,5,2226.5,1261,46,44,445.3,9.2,0,0,1,1,1,1,1,0,0,0,0,84970
12951,1,7,729.78,328,167,1,104.254285714286,23.8571428571429,0,0,0,0,1,0,0,0,0,1,0,84832
12955,0,6,985.48,750,103,2,164.246666666667,17.1666666666667,0,0,0,0,0,1,0,0,0,0,0,22699
12957,0,6,1699.44,1237,153,24,283.24,25.5,0,0,0,0,1,0,0,0,0,0,0,85049
12971,0,40,4779.45,3577,168,6,119.48625,4.2,0,0,0,0,0,0,0,0,0,0,0,22084
12980,0,8,5573.49,759,154,14,696.68625,19.25,0,0,0,0,0,0,0,0,0,0,0,84078
12989,0,8,3119.14,1437,127,38,389.8925,15.875,0,0,0,0,0,0,0,0,0,1,0,22301
12997,0,4,583.27,287,83,71,145.8175,20.75,0,0,1,0,0,0,0,0,0,0,0,21313
13001,0,12,7824.45,4476,141,22,652.0375,11.75,0,4,1,0,7,3,1,3,0,0,1,47566
13004,0,12,2754.97,2531,165,6,229.580833333333,13.75,0,3,1,1,1,0,0,2,0,0,0,85141
13012,0,5,372.17,164,115,17,74.434,23,0,0,0,0,0,0,0,0,0,0,0,22501
13014,0,8,1728.53,509,115,3,216.06625,14.375,0,0,0,5,1,0,0,0,0,0,0,22423
13015,1,4,1763.04,705,52,35,440.76,13,0,0,0,1,0,2,0,1,0,0,0,84879
13018,0,13,3847.95,2767,116,17,295.996153846154,8.92307692307692,0,0,0,1,2,0,0,1,0,0,0,84950
13021,0,4,988.37,469,134,4,247.0925,33.5,0,2,0,1,0,0,2,0,0,0,0,85099
13047,0,7,1835.6,745,163,11,262.228571428571,23.2857142857143,0,0,2,2,3,0,0,3,0,0,0,84969
13050,0,10,2183.26,1280,135,23,218.326,13.5,0,1,0,2,1,2,0,2,0,1,0,82484
13069,0,14,1851.47,1896,153,18,132.247857142857,10.9285714285714,0,0,0,0,3,1,0,0,0,0,1,84596
13078,0,16,4247.27,1460,169,1,265.454375,10.5625,0,0,0,0,0,0,0,0,0,0,0,21745
13081,0,9,11832.28,8146,134,42,1314.69777777778,14.8888888888889,0,0,3,4,4,0,3,1,0,0,3,47566
13082,0,8,2227.38,2947,161,14,278.4225,20.125,0,0,0,0,0,0,0,0,0,1,0,22726
13089,0,61,24561.8600000001,14101,169,7,402.653442622952,2.77049180327869,0,5,4,13,7,9,5,3,0,1,0,22423
13090,0,7,2761.19,697,153,13,394.455714285714,21.8571428571429,0,0,0,0,0,1,0,0,0,0,0,22622
13092,0,4,236.3,56,65,49,59.075,16.25,0,0,0,0,1,0,0,0,0,0,0,23176
13093,1,10,3945.96,2384,70,105,394.596,7,0,1,1,3,0,0,3,0,0,0,4,22383
13094,0,11,650.94,582,156,20,59.1763636363637,14.1818181818182,0,0,3,0,0,0,0,0,0,0,0,22791
13097,0,8,3622.71,1565,164,11,452.83875,20.5,0,0,0,6,4,0,0,2,0,0,0,22423
13098,0,19,9399.13,5411,148,7,494.691052631579,7.78947368421053,0,1,3,4,0,0,5,0,0,0,5,22382
13102,0,17,3243.88,2277,161,11,190.816470588235,9.47058823529412,0,0,3,0,0,0,0,0,0,0,0,22659
13110,0,4,696.69,201,54,95,174.1725,13.5,0,0,3,1,0,0,0,1,0,0,0,85123
13113,0,30,8257.65,2020,168,0,275.255,5.6,0,0,0,8,9,0,0,1,0,0,2,22501
13115,0,5,855.8,612,168,6,171.16,33.6,0,0,0,0,0,0,1,0,0,0,1,82616
13117,0,4,363.22,396,101,55,90.805,25.25,0,0,0,0,1,0,0,0,0,0,0,71459
13118,1,4,786.29,265,80,46,196.5725,20,0,0,0,0,0,0,0,0,0,0,0,22059
13126,0,4,830.58,930,85,91,207.645,21.25,0,0,0,0,0,0,0,0,0,0,0,85186
13134,0,5,849.79,319,56,21,169.958,11.2,0,1,1,1,1,0,0,0,0,0,1,22960
13141,0,5,1398.08,941,101,52,279.616,20.2,0,1,1,2,0,1,1,1,0,0,1,22697
13148,0,8,1213.29,576,134,17,151.66125,16.75,0,0,3,1,0,1,0,0,0,0,0,85123
13162,0,4,1262.14,1346,150,22,315.535,37.5,0,1,0,0,1,0,0,0,0,0,1,85034
13168,1,4,963.61,555,119,37,240.9025,29.75,0,0,2,1,0,0,0,2,0,0,0,82582
13178,0,5,2600.93,1505,124,9,520.186,24.8,0,2,0,0,0,0,5,0,0,2,3,84997
13184,0,6,897.47,936,105,22,149.578333333333,17.5,0,0,0,0,0,0,0,0,0,0,0,85132
13199,0,17,3440.6,2504,166,10,202.388235294118,9.76470588235294,0,0,0,0,0,0,0,0,0,0,0,84947
13213,0,4,549.38,322,23,14,137.345,5.75,0,0,0,0,1,0,0,0,0,0,0,85231
13225,0,4,2154.36,940,141,34,538.59,35.25,0,2,0,0,0,0,0,0,0,0,0,82483
13230,0,8,1706.03,882,118,39,213.25375,14.75,0,2,4,3,2,0,1,0,0,0,1,85099
13232,0,4,878.45,549,62,18,219.6125,15.5,0,1,0,0,0,0,1,0,0,0,0,84991
13246,1,5,1860.99,1546,153,14,372.198,30.6,0,2,1,0,0,0,0,0,0,0,0,22469
13263,0,18,3976.19999999999,2337,161,1,220.9,8.94444444444444,0,0,14,6,3,0,4,4,0,0,3,84596
13266,0,9,1799.67,2318,71,23,199.963333333333,7.88888888888889,0,0,0,0,0,0,0,0,0,0,3,85132
13267,0,11,1580.99,679,140,28,143.726363636364,12.7272727272727,0,0,0,0,1,3,0,0,0,0,0,82486
13268,0,9,2111.4,2497,97,7,234.6,10.7777777777778,0,0,0,0,0,0,1,0,0,0,2,22892
13269,0,5,1669.85,1144,70,17,333.97,14,0,3,1,0,3,0,0,0,0,0,0,22431
13310,1,4,785.85,387,124,38,196.4625,31,0,0,2,0,1,1,0,0,0,0,0,85231
13317,1,5,954.819999999999,376,56,21,190.964,11.2,0,0,0,2,2,0,0,0,0,1,0,22699
13319,0,14,3967.71,1732,169,7,283.407857142857,12.0714285714286,0,2,0,5,4,6,5,3,0,2,1,84879
13324,0,7,3116.04,2260,109,41,445.148571428571,15.5714285714286,0,0,0,5,0,0,0,0,0,0,0,22423
13397,0,4,975.52,299,160,17,243.88,40,0,1,0,0,0,0,0,3,0,0,0,22720
13408,0,30,9810.28,5917,170,4,327.009333333333,5.66666666666667,0,1,5,0,0,1,3,3,0,1,0,85123
13410,0,4,539.19,297,104,25,134.7975,26,0,0,0,0,0,0,0,0,0,0,0,22148
13418,0,9,1947,1316,89,1,216.333333333333,9.88888888888889,0,0,0,0,0,0,0,0,0,1,0,22729
13426,0,4,1221.7,1057,153,20,305.425,38.25,0,0,0,0,0,0,0,0,0,0,0,22037
13451,0,4,1592.68,1099,123,49,398.17,30.75,0,1,0,0,1,0,2,2,0,0,3,22383
13458,0,12,5323.55,3312,168,7,443.629166666667,14,0,1,4,1,2,4,1,0,0,0,2,22766
13468,0,19,2774.34,1200,152,17,146.017894736842,8,0,0,6,0,1,0,0,0,0,0,0,85123
13475,1,4,1431.78,1012,107,29,357.945,26.75,0,0,3,0,0,0,0,0,0,0,0,84596
13476,1,4,1092.77,414,102,16,273.1925,25.5,0,0,1,1,1,0,0,0,0,0,0,85014
13477,0,5,752.74,503,121,8,150.548,24.2,0,0,0,2,1,0,0,0,0,0,0,22466
13488,0,8,4095.76,2011,160,14,511.97,20,0,0,4,1,0,1,2,1,0,0,2,85123
13491,0,6,835.23,704,85,85,139.205,14.1666666666667,0,0,0,0,0,0,0,0,0,0,0,84596
13505,0,5,2518.37,1252,66,4,503.674,13.2,0,0,0,4,1,0,0,0,3,0,0,22699
13534,0,26,2543.35,1353,153,21,97.8211538461539,5.88461538461539,0,9,0,0,0,0,1,0,0,2,3,85099
13549,0,4,510.47,306,49,30,127.6175,12.25,0,2,1,1,1,0,0,0,0,0,0,85099
13552,0,10,2107.8,756,150,3,210.78,15,0,0,0,1,0,0,0,0,0,1,0,23118
13571,0,4,507.31,357,68,22,126.8275,17,0,0,2,0,0,0,0,0,0,0,0,22197
13576,0,9,3119.65,1221,161,14,346.627777777778,17.8888888888889,0,0,0,0,0,0,0,0,0,0,0,21137
13593,0,5,1344.45,469,173,0,268.89,34.6,0,0,3,0,2,0,0,0,0,0,0,85123
13599,0,11,1591.62,891,153,22,144.692727272727,13.9090909090909,0,1,0,0,0,1,0,0,1,1,0,23084
13610,0,4,466.42,224,97,25,116.605,24.25,0,1,0,0,1,0,0,0,0,0,0,22773
13623,1,5,532.02,148,87,48,106.404,17.4,0,1,2,1,0,0,0,0,0,0,0,90200
13629,0,5,3666,2050,165,11,733.2,33,0,5,0,0,0,0,0,0,0,0,0,85099
13630,0,7,1029.74,704,114,9,147.105714285714,16.2857142857143,0,1,0,0,0,1,0,0,0,0,0,22178
13631,0,8,2290.72,354,102,2,286.34,12.75,0,0,0,3,0,0,0,0,0,0,0,22423
13632,1,4,810.35,315,69,11,202.5875,17.25,0,1,2,1,2,0,0,0,0,0,0,85123
13636,0,4,533.95,297,36,86,133.4875,9,0,0,1,0,0,0,0,0,0,0,0,85131
13662,0,6,514.26,358,76,20,85.71,12.6666666666667,0,0,0,0,2,0,0,0,0,0,0,47566
13668,0,16,4018.84,2426,168,4,251.1775,10.5,0,0,1,0,5,0,0,0,0,0,0,47566
13672,1,6,-71.46,-1,32,139,-11.91,5.33333333333333,0,0,0,0,0,0,0,0,0,0,0,85232
13692,1,4,850.13,733,32,41,212.5325,8,0,0,0,0,0,1,0,0,1,0,0,22839
13694,0,31,29485.34,33430,176,0,951.14,5.67741935483871,0,4,1,0,3,0,1,0,0,0,1,84596
13695,0,6,749.54,454,89,8,124.923333333333,14.8333333333333,0,0,0,0,2,4,0,0,0,0,0,84879
13700,0,6,1245.8,1559,150,14,207.633333333333,25,0,0,0,0,0,0,0,0,0,0,0,84596
13717,0,4,741.47,1227,126,10,185.3675,31.5,0,0,0,3,0,1,0,0,0,0,0,85212
13725,0,9,1828.1,716,139,7,203.122222222222,15.4444444444444,0,0,0,2,1,0,1,1,0,0,0,21936
13735,1,4,1335.55,692,58,13,333.8875,14.5,0,0,0,0,0,1,0,0,0,0,0,84279
13742,0,12,2620.12,963,157,0,218.343333333334,13.0833333333333,0,0,3,0,0,0,1,2,0,0,0,22926
13752,0,4,891.53,709,61,22,222.8825,15.25,0,0,0,0,0,0,0,0,0,0,0,21326
13767,0,25,5399.92999999999,2173,174,2,215.9972,6.96,0,0,1,10,3,11,0,0,0,0,0,22727
13769,0,6,1118.96,487,118,45,186.493333333333,19.6666666666667,0,0,3,0,0,0,0,0,0,0,0,84945
13777,0,16,4641.09,2038,164,3,290.068125,10.25,0,3,7,0,0,0,4,0,0,0,0,22041
13784,0,7,1632.39,1745,164,6,233.198571428571,23.4285714285714,0,0,0,2,0,0,0,0,0,0,0,84970
13798,0,37,20361.75,12764,173,3,550.317567567568,4.67567567567568,0,14,7,0,4,0,4,0,0,0,0,85099
13811,1,4,591.75,67,55,21,147.9375,13.75,0,0,0,0,0,0,0,0,2,0,0,POST
13842,0,5,1517.9,566,137,37,303.58,27.4,0,0,0,1,0,2,0,1,0,0,0,85066
13854,0,17,4495.3,1248,139,27,264.429411764706,8.17647058823529,0,0,0,5,3,7,0,0,0,0,0,84879
13856,1,5,363.4,484,34,6,72.68,6.8,0,0,0,0,0,0,0,0,0,0,0,79000
13862,0,6,1130.46,803,147,23,188.41,24.5,0,0,0,0,0,0,0,0,0,0,0,22993
13870,0,4,881.2,539,123,2,220.3,30.75,0,0,0,1,0,1,0,0,0,0,0,23245
13871,0,6,3010.82,1309,146,0,501.803333333333,24.3333333333333,0,2,0,3,0,0,1,4,0,2,0,82482
13880,0,5,1241.77,663,110,24,248.354,22,0,0,0,1,2,0,0,2,0,0,0,84912
13881,0,8,5150.33,3583,148,1,643.79125,18.5,0,0,0,0,0,2,2,2,0,0,0,84050
13883,1,7,1643.2,843,125,38,234.742857142857,17.8571428571429,0,0,0,1,0,0,0,0,1,0,0,22995
13884,0,4,189.95,62,5,115,47.4875,1.25,0,0,1,0,0,0,0,0,0,0,0,21314
13911,0,6,1703.91,1465,111,35,283.985,18.5,0,0,0,0,1,0,0,0,0,0,0,22693
13969,0,7,2232.59,1205,153,7,318.941428571429,21.8571428571429,0,3,0,2,0,0,2,2,0,2,2,85132
13971,0,6,1233.24,848,106,16,205.54,17.6666666666667,0,1,0,0,2,1,0,0,0,3,0,22722
13983,0,7,1351.7,573,139,25,193.1,19.8571428571429,0,0,0,1,0,0,0,0,0,0,0,71459
13985,0,4,1129.7,550,81,20,282.425,20.25,0,2,0,0,0,0,2,0,0,0,0,22381
13988,0,4,1916.85,1289,92,0,479.2125,23,0,0,2,0,0,3,0,0,0,0,0,84879
13993,0,5,1488.57,404,125,43,297.714,25,0,1,0,1,0,1,0,0,0,1,0,84509
13999,0,5,1251.37,767,151,9,250.274,30.2,0,1,0,0,3,0,2,0,0,1,0,84755
14031,0,11,5014.7,1994,168,6,455.881818181819,15.2727272727273,0,1,0,4,0,2,0,0,0,0,0,15056
14032,0,7,1195.2,919,107,6,170.742857142857,15.2857142857143,0,0,0,0,0,0,0,0,0,0,0,22064
14040,0,8,1899.48,758,160,9,237.435,20,0,4,1,4,0,0,3,2,1,1,0,85099
14051,0,12,4408.13,1143,141,11,367.344166666667,11.75,0,0,0,4,3,0,0,0,0,0,0,15056
14056,0,12,3687.36999999999,2049,100,22,307.280833333333,8.33333333333333,0,3,0,0,0,0,4,2,0,2,0,22191
14057,0,8,2162.65,1711,132,0,270.33125,16.5,0,1,0,0,0,0,0,0,0,0,1,22900
14060,0,8,2521.06,2374,149,21,315.1325,18.625,0,0,0,0,0,0,0,0,0,0,0,23158
14062,0,4,3750.55,2037,147,14,937.6375,36.75,0,0,0,0,0,0,0,0,0,0,0,84596
14064,0,4,686.64,863,62,49,171.66,15.5,0,0,2,0,0,0,0,0,0,0,0,84459
14078,0,4,691.67,208,99,22,172.9175,24.75,0,0,0,0,0,0,0,0,0,0,0,15044
14085,0,8,1770.12,1487,155,13,221.265,19.375,0,0,1,1,0,5,0,2,0,0,0,84879
14088,0,4,15388,3677,152,8,3847,38,0,1,1,1,0,0,0,1,0,0,0,72807
14092,0,7,1471.78,758,151,8,210.254285714286,21.5714285714286,0,0,2,0,0,0,0,3,0,0,0,22960
14099,0,6,1330.55,1018,159,8,221.758333333333,26.5,0,0,0,0,0,0,0,0,0,0,0,84508
14101,0,4,4159.39,5850,128,35,1039.8475,32,0,0,0,0,0,2,0,0,0,0,0,22659
14107,0,4,1473.6,1012,120,14,368.4,30,0,0,0,1,0,0,2,0,0,0,0,22652
14110,0,4,2067.74,944,95,9,516.935,23.75,0,2,2,0,2,0,0,0,0,0,0,85099
14112,0,5,1069.5,648,71,41,213.9,14.2,0,2,0,0,0,0,1,0,0,1,1,85099
14135,0,5,1494.41,1890,151,24,298.882,30.2,0,0,0,0,0,0,0,0,0,0,0,85049
14156,0,26,50789.07,24407,165,1,1953.42576923077,6.34615384615385,4,2,2,5,2,0,5,5,0,0,3,22699
14159,0,4,1224.52,1113,86,7,306.13,21.5,0,2,3,0,0,0,3,2,0,1,3,84596
14175,0,4,1146.39,586,158,9,286.5975,39.5,0,0,0,1,0,0,0,0,0,0,0,84970
14180,0,19,2598.17,386,170,6,136.745789473684,8.94736842105263,0,0,0,0,0,0,0,0,0,0,0,84968
14189,0,11,1825.18,1606,137,38,165.925454545455,12.4545454545455,0,0,1,0,0,2,0,0,0,0,0,22728
14191,0,5,1080.85,598,58,0,216.17,11.6,0,3,0,0,2,0,0,0,0,0,0,85099
14194,0,14,3895.06,1932,140,6,278.218571428571,10,0,3,3,2,6,2,0,1,0,2,2,47566
14201,0,5,284.46,158,48,24,56.892,9.6,0,0,0,0,2,3,0,0,0,0,0,84879
14209,0,4,1076.85,332,126,44,269.2125,31.5,0,0,2,0,0,0,0,0,0,0,0,22789
14210,0,4,1294.7,548,141,35,323.675,35.25,0,0,2,0,3,0,0,1,0,0,0,47566
